rel,ext,status,oldBytes,newBytes,oldWidth,oldHeight,newWidth,newHeight,savingBytes,savingPct,note
反向大脑UI图/04游戏进行页面/连击/04-02连击特效png.png,.png,replaced,135030,103893,1254,1254,1024,1024,31137,23.06,resized long edge 1254->1024
反向大脑UI图/01初始化加载/01游戏启动页.png,.png,kept-original-not-smaller,1374351,1374351,864,1536,864,1536,0,0.00,candidate 1374351 bytes
反向大脑UI图/01初始化加载/03加载过渡页面.png,.png,kept-original-not-smaller,1267773,1267773,1254,1254,1254,1254,0,0.00,candidate 1267773 bytes
反向大脑UI图/02游戏首页/02-02排行榜.png,.png,kept-original-not-smaller,1129819,1129819,1254,1254,1254,1254,0,0.00,candidate 1129819 bytes
反向大脑UI图/02游戏首页/02-03设置.png,.png,kept-original-not-smaller,1218643,1218643,1254,1254,1254,1254,0,0.00,candidate 1218643 bytes
反向大脑UI图/02游戏首页/02-04成就.png,.png,kept-original-not-smaller,1286798,1286798,1254,1254,1254,1254,0,0.00,candidate 1286798 bytes
反向大脑UI图/02游戏首页/02游戏首页.png,.png,kept-original-not-smaller,711748,711748,864,1536,864,1536,0,0.00,candidate 711748 bytes
反向大脑UI图/03模式选择/11-04返回.png,.png,kept-original-not-smaller,528513,528513,1024,512,1024,512,0,0.00,candidate 528513 bytes
反向大脑UI图/03模式选择/11模式选择.png,.png,kept-original-not-smaller,1047129,1047129,864,1536,864,1536,0,0.00,candidate 1047129 bytes
反向大脑UI图/05游戏总结/05-02失误次数.png,.png,kept-original-not-smaller,784507,784507,1254,1254,1254,1254,0,0.00,candidate 784507 bytes
反向大脑UI图/05游戏总结/05再来一局.png,.png,kept-original-not-smaller,198804,198804,1536,512,1536,512,0,0.00,candidate 198804 bytes
反向大脑UI图/05游戏总结/05分享战绩.png,.png,kept-original-not-smaller,203772,203772,1536,921,1536,921,0,0.00,candidate 203772 bytes
反向大脑UI图/05游戏总结/05游戏总结.png,.png,kept-original-not-smaller,620677,620677,864,1536,864,1536,0,0.00,candidate 620677 bytes
反向大脑UI图/06排行榜/06排行榜.png,.png,kept-original-not-smaller,1437476,1437476,1024,1536,1024,1536,0,0.00,candidate 1437476 bytes
反向大脑UI图/06排行榜/排行榜-4-10名胶囊.png,.png,kept-original-not-smaller,60298,60298,1024,341,1024,341,0,0.00,candidate 60298 bytes
反向大脑UI图/06排行榜/排行榜-全球榜灰.png,.png,kept-original-not-smaller,208337,208337,1536,512,1536,512,0,0.00,candidate 208337 bytes
反向大脑UI图/06排行榜/排行榜-全球榜红.png,.png,kept-original-not-smaller,479316,479316,1536,512,1536,512,0,0.00,candidate 479316 bytes
反向大脑UI图/06排行榜/排行榜-前三名胶囊.png,.png,kept-original-not-smaller,195378,195378,1024,341,1024,341,0,0.00,candidate 195378 bytes
反向大脑UI图/06排行榜/排行榜-好友榜灰.png,.png,kept-original-not-smaller,264419,264419,1536,512,1536,512,0,0.00,candidate 264419 bytes
反向大脑UI图/06排行榜/排行榜-好友榜红.png,.png,kept-original-not-smaller,363639,363639,1536,512,1536,512,0,0.00,candidate 363639 bytes
反向大脑UI图/06排行榜/排行榜-底图.png,.png,kept-original-not-smaller,327400,327400,864,1536,864,1536,0,0.00,candidate 327400 bytes
反向大脑UI图/06排行榜/排行榜-本人胶囊.png,.png,kept-original-not-smaller,275446,275446,1024,341,1024,341,0,0.00,candidate 275446 bytes
反向大脑UI图/06排行榜/排行榜-返回.png,.png,kept-original-not-smaller,106987,106987,1024,512,1024,512,0,0.00,candidate 106987 bytes
反向大脑UI图/07设置/07设置页面.png,.png,kept-original-not-smaller,1295961,1295961,864,1536,864,1536,0,0.00,candidate 1295961 bytes
反向大脑UI图/07设置/声音图标.png,.png,kept-original-not-smaller,508929,508929,1024,1024,1024,1024,0,0.00,candidate 508929 bytes
反向大脑UI图/07设置/宽边框.png,.png,kept-original-not-smaller,262899,262899,1024,341,1024,341,0,0.00,candidate 262899 bytes
反向大脑UI图/07设置/拖拽点.png,.png,kept-original-not-smaller,445287,445287,1024,1024,1024,1024,0,0.00,candidate 445287 bytes
反向大脑UI图/07设置/振动图标.png,.png,kept-original-not-smaller,375897,375897,1024,1024,1024,1024,0,0.00,candidate 375897 bytes
反向大脑UI图/07设置/标题.png,.png,kept-original-not-smaller,420275,420275,1536,384,1536,384,0,0.00,candidate 420275 bytes
反向大脑UI图/07设置/滑动条暗色轨道.png,.png,kept-original-not-smaller,76211,76211,1024,341,1024,341,0,0.00,candidate 76211 bytes
反向大脑UI图/07设置/窄边框.png,.png,kept-original-not-smaller,200291,200291,1024,341,1024,341,0,0.00,candidate 200291 bytes
反向大脑UI图/07设置/背景图.png,.png,kept-original-not-smaller,842849,842849,864,1536,864,1536,0,0.00,candidate 842849 bytes
反向大脑UI图/07设置/背景音乐图标.png,.png,kept-original-not-smaller,669908,669908,1254,1254,1254,1254,0,0.00,candidate 669908 bytes
反向大脑UI图/07设置/返回按钮.png,.png,kept-original-not-smaller,113583,113583,1024,341,1024,341,0,0.00,candidate 113583 bytes
反向大脑UI图/07设置/震动开关底图.png,.png,kept-original-not-smaller,326860,326860,1024,525,1024,525,0,0.00,candidate 326860 bytes
反向大脑UI图/07设置/音乐图标.png,.png,kept-original-not-smaller,445257,445257,1024,1024,1024,1024,0,0.00,candidate 445257 bytes
反向大脑UI图/07设置/音乐开关底图.png,.png,kept-original-not-smaller,344506,344506,1024,683,1024,683,0,0.00,candidate 344506 bytes
反向大脑UI图/07设置/音乐滑动条填充.png,.png,kept-original-not-smaller,149523,149523,1024,341,1024,341,0,0.00,candidate 149523 bytes
反向大脑UI图/07设置/音效开关底图.png,.png,kept-original-not-smaller,441479,441479,1024,525,1024,525,0,0.00,candidate 441479 bytes
反向大脑UI图/07设置/音效滑动条填充.png,.png,kept-original-not-smaller,105767,105767,1024,341,1024,341,0,0.00,candidate 105767 bytes
